,PassengerId,Survived,Sex,Age,Fare,Pclass_1,Pclass_2,Pclass_3,Family_size,Title_1,Title_2,Title_3,Title_4,Emb_1,Emb_2,Emb_3
0,1,0,1,0.275,0.014151057562208049,0,0,1,0.1,1,0,0,0,0,0,1
1,2,1,0,0.475,0.13913573538264068,1,0,0,0.1,1,0,0,0,1,0,0
2,3,1,0,0.325,0.015468569817999833,0,0,1,0.0,0,0,0,1,0,0,1
3,4,1,0,0.4375,0.10364429745562033,1,0,0,0.1,1,0,0,0,0,0,1
4,5,0,1,0.4375,0.015712553569072387,0,0,1,0.0,1,0,0,0,0,0,1
5,6,0,1,0.35,0.01650950209357577,0,0,1,0.0,1,0,0,0,0,1,0
6,7,0,1,0.675,0.10122885832000206,1,0,0,0.0,1,0,0,0,0,0,1
7,8,0,1,0.025,0.04113566043083236,0,0,1,0.4,0,0,1,0,0,0,1
8,9,1,0,0.3375,0.021730754366528396,0,0,1,0.2,1,0,0,0,0,0,1
9,10,1,0,0.175,0.058694292654020104,0,1,0,0.1,1,0,0,0,1,0,0
10,11,1,0,0.05,0.03259622914329302,0,0,1,0.2,0,0,0,1,0,0,1
11,12,1,0,0.725,0.051822148727810165,1,0,0,0.0,0,0,0,1,0,0,1
12,13,0,1,0.25,0.015712553569072387,0,0,1,0.0,1,0,0,0,0,0,1
13,14,0,1,0.4875,0.06104473451835265,0,0,1,0.6,1,0,0,0,0,0,1
14,15,0,0,0.175,0.015330377421392339,0,0,1,0.0,0,0,0,1,0,0,1
15,16,1,0,0.6875,0.03122992013728673,0,1,0,0.0,1,0,0,0,0,0,1
16,17,0,1,0.025,0.056848213999904744,0,0,1,0.5,0,0,1,0,0,1,0
17,18,1,1,0.35,0.025374310111545468,0,1,0,0.0,1,0,0,0,0,0,1
18,19,0,0,0.3875,0.03513366015444757,0,0,1,0.1,1,0,0,0,0,0,1
19,20,1,0,0.35,0.014102260811993537,0,0,1,0.0,1,0,0,0,1,0,0
20,21,0,1,0.4375,0.050748620223090936,0,1,0,0.0,1,0,0,0,0,0,1
21,22,1,1,0.425,0.025374310111545468,0,1,0,0.0,1,0,0,0,0,0,1
22,23,1,0,0.1875,0.015671954672893913,0,0,1,0.0,0,0,0,1,0,1,0
23,24,1,1,0.35,0.06929138530460492,1,0,0,0.0,1,0,0,0,0,0,1
24,25,0,0,0.1,0.04113566043083236,0,0,1,0.4,0,0,0,1,0,0,1
25,26,1,0,0.475,0.061264319894317944,0,0,1,0.6,1,0,0,0,0,0,1
26,27,0,1,0.35,0.014102260811993537,0,0,1,0.0,1,0,0,0,1,0,0
27,28,0,1,0.2375,0.5133418122566505,1,0,0,0.5,1,0,0,0,0,0,1
28,29,1,0,0.35,0.01537917417160685,0,0,1,0.0,0,0,0,1,0,1,0
29,30,0,1,0.35,0.015411575213749284,0,0,1,0.0,1,0,0,0,0,0,1
30,31,0,1,0.5,0.05410739813385612,1,0,0,0.0,1,0,0,0,1,0,0
31,32,1,0,0.35,0.2859895551532101,1,0,0,0.1,1,0,0,0,1,0,0
32,33,1,0,0.35,0.015126992566498259,0,0,1,0.0,0,0,0,1,0,1,0
33,34,0,1,0.825,0.020494635090094415,0,1,0,0.0,1,0,0,0,0,0,1
34,35,0,1,0.35,0.16038672010106,1,0,0,0.1,1,0,0,0,1,0,0
35,36,0,1,0.525,0.10149724044618187,1,0,0,0.1,1,0,0,0,0,0,1
